time,speed_healthy,soc_healthy,power_healthy,speed_aged,soc_aged,power_aged
0.0,0.05616688303121401,99.99999133227114,124.81529562492003,0.031166883031214017,99.99999540072038,66.22962644132978
0.1,0.1123336871944593,99.99997399682559,249.63041598768734,0.06233374177806309,99.99998620216473,132.45920127838406
0.2,0.16850025475424135,99.99994799369985,374.4450105649808,0.09350052767189301,99.99997240434381,198.68862130277265
0.30000000000000004,0.22466642797705905,99.9999133229548,499.25872883790896,0.12466719214439015,99.99995400727552,264.91778330682905
0.4,0.28083204913317655,99.99986998467561,624.0712202959479,0.15583368662788424,99.99993101098495,331.14658408425396
0.5,0.33699696049839506,99.99981797897183,748.882134440878,0.18699996255565104,99.99990341550436,397.37492043075844
0.6000000000000001,0.39316100435582446,99.99975730597734,873.691120790721,0.21816597136221516,99.99987122087317,463.6026891447072
0.7000000000000001,0.44932402299765484,99.99968796585033,998.4978288836774,0.24933166448365268,99.99983442713797,529.8297870277619
0.8,0.5054858587269278,99.99960995877336,1123.3019082820617,0.28049699335789385,99.99979303435249,596.0561108855244
0.9,0.5616463538593074,99.99952328495333,1248.1030085762386,0.3116619094250258,99.99974704257767,662.2815575281797
1.0,0.6178053507248513,99.99942794462143,1372.9007793885585,0.34282636412759515,99.99969645188158,728.5060237711397
1.1,0.6739626916697807,99.99932393803321,1497.6948703772905,0.3739903089109107,99.99964126233947,794.7294064356852
1.2000000000000002,0.7301182190582507,99.99921126546855,1622.484931240557,0.4051536952233457,99.99958147403375,860.9516023496095
1.3,0.7862717752741197,99.99908992723162,1747.270611720266,0.4363164745166409,99.999517087054,927.1725083478619
1.4000000000000001,0.842423202722719,99.99895992365096,1872.0515616060422,0.4674785982462065,99.99944810149697,993.3920212731888
1.5,0.8985723438326209,99.99882125507938,1996.8274307391573,0.4986400178714251,99.99937451746655,1059.6100379767784
1.6,0.9547190410574073,99.99867392189402,2121.5978690164607,0.5298006848559536,99.99929633507382,1125.8264553189013
1.7000000000000002,1.0108631368774375,99.99851792449635,2246.3625263943054,0.5609605506680257,99.999213554437,1192.0411701695546
1.8,1.067004473801614,99.99835326331213,2371.1210528924757,0.5921195667807546,99.9991261756815,1258.2540794091035
1.9000000000000001,1.1231428943691502,99.9981799387914,2495.8730985981115,0.6232776846724345,99.99903419893984,1324.4650799289232
2.0,1.179278241151335,99.99799795140851,2620.618313669633,0.6544348558268432,99.99893762435174,1390.6740686320418
2.1,1.2354103567532977,99.99780730166209,2745.3563483406615,0.6855910317335442,99.99883645206407,1456.8809424337815
2.2,1.2915390838157723,99.99760799007508,2870.0868529239383,0.7167461638881883,99.99873068223086,1523.0855982624
2.3000000000000003,1.3476642650168607,99.99740001719468,2994.809477815246,0.7479002037928162,99.99862031501328,1589.2879330597343
2.4000000000000004,1.4037857430737946,99.99718338359236,3119.523873497321,0.7790531029561594,99.99850535057969,1655.4878437818384
2.5,1.4599033607446972,99.99695808986385,3244.2296905437715,0.8102048128939427,99.99838578910557,1721.6852273996283
2.6,1.5160169608303433,99.99672413662915,3368.926579622985,0.8413552851291859,99.99826163077356,1787.87998089952
2.7,1.5721263861759192,99.99648152453253,3493.6141915020426,0.8725044711925045,99.99813287577346,1854.0720012840718
2.8000000000000003,1.6282314796727804,99.99623025424245,3618.2921770506227,0.9036523226224122,99.99799952430224,1920.261185572626
2.9000000000000004,1.6843320842602094,99.99597032645167,3742.96018724491,0.9347987909656217,99.99786157656399,1986.447430801946
3.0,1.7404280429271717,99.99570174187714,3867.6178731714926,0.9659438277773459,99.99771903276996,2052.63063402686
3.1,1.7965191987140705,99.99542450126006,3992.2648860312675,0.9970873846215994,99.99757189313856,2118.810692320899
3.2,1.852605394714501,99.99513860536581,4116.9008771433355,1.028229413071499,99.9974201578953,2184.9875027769353
3.3000000000000003,1.9086864740770018,99.99484405498401,4241.525497948893,1.0593698647095655,99.9972638272729,2251.1609625078268
3.4000000000000004,1.9647622800068076,99.99454085092846,4366.138400015128,1.090508691128023,99.9971029015112,2317.330968647049
3.5,2.0208326557675984,99.99422899403714,4490.739235039107,1.1216458439291015,99.99693738085715,2383.4974183493405
3.6,2.076897444683247,99.99390848517223,4615.32765485166,1.1527812747253354,99.99676726556487,2449.6602087913375
3.7,2.1329564901395677,99.99357932522004,4739.903311421261,1.1839149351398655,99.99659255589562,2515.819237172214
3.8000000000000003,2.189009635586061,99.99324151509109,4864.465856857913,1.2150467768067383,99.99641325211779,2581.974400714319
3.9000000000000004,2.245056724537658,99.99289505572001,4989.014943417017,1.2461767513712065,99.99622935450691,2648.1255966638137
4.0,2.301097600576462,99.9925399480656,5113.550223503248,1.277304810490029,99.99604086334564,2714.2727222913118
4.1000000000000005,2.3571321073534914,99.99217619311077,5238.071349674426,1.3084309058317705,99.99584777892377,2780.415674892512
4.2,2.4131600885904176,99.99180379186252,5362.577974645373,1.339554989077101,99.99565010153823,2846.5543517888395
4.3,2.4691813880813025,99.99142274535201,5487.069751291783,1.370677011919096,99.99544783149307,2912.688650328079
4.4,2.5251958496943354,99.99103305463447,5611.5463326540785,1.401796926063535,99.99524096909947,2978.818467885012
4.5,2.5812033173735665,99.9906347207892,5736.0073719412585,1.432914683229201,99.99502951467574,3044.943701862052
4.6000000000000005,2.63720363514064,99.99022774491958,5860.452522534755,1.4640302351481798,99.99481346854728,3111.064249689882
4.7,2.6931966470965243,99.98981212815305,5984.881437992276,1.495143533566158,99.99459283104666,3177.180008828086
4.800000000000001,2.7491821974232398,99.9893878716411,6109.293772051644,1.5262545302427228,99.99436760251355,3243.2908767657855
4.9,2.805160130385588,99.98895497655926,6233.68917863464,1.5573631769516596,99.99413778329473,3309.3967510222765
5.0,2.8611302903328744,99.98851344410704,6358.067311850831,1.5884694254812506,99.9939033737441,3375.497529147657
5.1000000000000005,2.917092521700632,99.98806327550801,6482.427826001404,1.6195732276345725,99.99366437422266,3441.5931087234662
5.2,2.9730466690123416,99.9876044720097,6606.770375582982,1.6506745352297947,99.99342078509854,3507.6833873633136
5.300000000000001,3.0289925768811523,99.98713703488365,6731.094615291449,1.6817733001004773,99.99317260674695,3573.768262713514
5.4,3.0849300900115963,99.98666096542532,6855.40020002577,1.712869474095868,99.99291983955025,3639.8476324537196
5.5,3.1408590532013037,99.98617626495414,6979.6867848917855,1.7439630090812,99.99266248389787,3705.92139429755
5.6000000000000005,3.196779311342716,99.9856829348135,7103.954025206035,1.775053856937988,99.99240054018635,3771.9894459932243
5.7,3.2526907094247943,99.98518097637069,7228.201576499543,1.8061419695643262,99.99213400881932,3838.051685324193
5.800000000000001,3.308593092534729,99.9846703910169,7352.42909452162,1.8372272988751845,99.99186289020751,3904.1080101097673
5.9,3.3644863058596437,99.98415118016723,7476.636235243653,1.8683097968027051,99.99158718476875,3970.158318205748
6.0,3.4203701946883,99.98362334526064,7600.822654862888,1.8993894152964985,99.99130689292795,4036.202507505059
6.1000000000000005,3.476244604412796,99.98308688775995,7724.988009806213,1.930466106323939,99.99102201511712,4102.24047593837
6.2,3.5321093805302675,99.98254180915184,7849.131956733928,1.9615398218704614,99.99073255177535,4168.272121474731
6.300000000000001,3.5879643686445806,99.9819881109468,7973.254152543513,1.9926105139398558,99.99043850334881,4234.297342122193
6.4,3.643809414468028,99.98142579467914,8097.354254373396,2.0236781345545634,99.99013987029076,4300.316035928447
6.5,3.6996443638230176,99.98085486190695,8221.431919606706,2.0547426357559706,99.98983665306153,4366.328100981437
6.6000000000000005,3.7554690626437623,99.9802753142121,8345.486805875027,2.085803969604705,99.98952885212852,4432.333435409998
6.7,3.8112833569779645,99.97968715320022,8469.518571062143,2.1168620881809286,99.9892164679662,4498.331937384473
