battery,driver,road,traffic,max_speed,avg_speed,final_speed,min_soc,soc_drop
aged,aggressive,flat,heavy,72.65218543330519,42.507996572862865,72.65218543330519,94.98169484903696,5.0183051509630445
aged,aggressive,flat,light,75.93946144583526,44.74568252354466,75.93946144583526,94.71752359097046,5.282476409029542
aged,aggressive,uphill,heavy,47.20156892824834,26.142437728314714,47.20156892824834,96.91373999040746,3.086260009592536
aged,aggressive,uphill,light,51.29631525406159,28.662467866776293,51.29631525406159,96.61623643239447,3.383763567605527
aged,eco,flat,heavy,26.745833125772656,14.176404393448431,26.745833125772656,99.37239876383164,0.6276012361683598
aged,eco,flat,light,31.62339444000664,16.937434353743996,31.62339444000664,99.25016566663132,0.7498343333686819
aged,eco,uphill,heavy,0.0,0.0,0.0,100.0,0.0
aged,eco,uphill,light,0.0,0.0,0.0,100.0,0.0
aged,normal,flat,heavy,47.36814088108092,26.244121860681236,47.36814088108092,98.06358475854351,1.936415241456487
aged,normal,flat,light,51.45701528052381,28.762237399378968,51.45701528052381,97.87778630299744,2.1222136970025645
aged,normal,uphill,heavy,14.647107185933969,7.5667003924214375,14.647107185933969,99.44169311340652,0.5583068865934848
aged,normal,uphill,light,20.046853622693423,10.475246578276106,20.046853622693423,99.22708684101266,0.7729131589873361
healthy,aggressive,flat,heavy,82.85633211219607,49.54777551270586,82.85633211219607,93.88299067744376,6.1170093225562425
healthy,aggressive,flat,light,85.8682525944729,51.67854861828774,85.8682525944729,93.61993226934732,6.380067730652684
healthy,aggressive,uphill,heavy,59.8179719662243,34.04467066663141,59.8179719662243,95.79695423868743,4.203045761312566
healthy,aggressive,uphill,light,63.49020459655325,36.422089440802615,63.49020459655325,95.50344574804916,4.49655425195084
healthy,eco,flat,heavy,32.57466155524544,17.482525584262643,32.57466155524544,99.19062381554342,0.8093761844565819
healthy,eco,flat,light,37.216524007912064,20.173746068904258,37.216524007912064,99.06603027458787,0.9339697254121262
healthy,eco,uphill,heavy,0.0,0.0,0.0,100.0,0.0
healthy,eco,uphill,light,0.9959736634446597,0.5000157561399903,0.9959736634446597,99.97685112240086,0.02314887759914086
healthy,normal,flat,heavy,55.40423619998199,31.233615045945452,55.40423619998199,97.5899988390475,2.410001160952504
healthy,normal,flat,light,59.21920263961324,33.66035908048145,59.21920263961324,97.40275007095042,2.597249929049582
healthy,normal,uphill,heavy,25.20800393237189,13.317536429834187,25.20800393237189,98.9724123125128,1.0275876874871983
healthy,normal,uphill,light,30.149458766033582,16.09712549432741,30.149458766033582,98.75793784765996,1.24206215234004
